title,url,source_type,source_name,published_date,category,sub_issue,gov_level,area_type,service_type,province,sentiment,sentiment_score,pain_points,demographics,has_abandonment_signal,has_bottleneck
Prabowo: Digitalisasi Bansos Telah Berjalan di 153 Kabupaten/Kota,https://news.detik.com/berita/d-8618538/prabowo-digitalisasi-bansos-telah-berjalan-di-153-kabupaten-kota,news_site,detik.com,"Jumat, 14 Agu 2026 15:08 WIB",kesejahteraan,bansos_adaptif,pusat,umum,tidak_teridentifikasi,Nusa Tenggara Timur,positif,1.0,,ibu_anak; pekerja_informal,1,1
Duh! Siswa SMP di Pekalongan Dikeroyok Teman Sekolah hingga Koma,https://www.detik.com/jateng/berita/d-8618455/duh-siswa-smp-di-pekalongan-dikeroyok-teman-sekolah-hingga-koma,news_site,detik.com,"Jumat, 14 Agu 2026 14:34 WIB",kesehatan,kelengkapan_data_rs,daerah,3T,tidak_teridentifikasi,Jawa Tengah,netral,0.0,,lansia,0,0
"Prabowo: Target Revitalisasi Sekolah Selesai 2029, Termasuk di 3T",https://www.detik.com/edu/sekolah/d-8618135/prabowo-target-revitalisasi-sekolah-selesai-2029-termasuk-di-3t,news_site,detik.com,"Jumat, 14 Agu 2026 11:40 WIB",pendidikan,revitalisasi_sarpras,pusat,3T,tidak_teridentifikasi,Sulawesi Utara,netral,0.0,,masyarakat_3t,0,0
Ketua MPR: MBG Jadi Terobosan Menuju Indonesia Emas 2045,https://www.detik.com/sumut/berita/d-8617973/ketua-mpr-mbg-jadi-terobosan-menuju-indonesia-emas-2045,news_site,detik.com,"Jumat, 14 Agu 2026 11:21 WIB",pangan,makan_bergizi_gratis,daerah,umum,tidak_teridentifikasi,DKI Jakarta,positif,1.0,,ibu_anak; petani_nelayan,0,0
"Prabowo: Indonesia Anggota G20, Tak Pantas Masih Ada Rakyat yang Lapar",https://news.detik.com/berita/d-8618065/prabowo-indonesia-anggota-g20-tak-pantas-masih-ada-rakyat-yang-lapar,news_site,detik.com,"Jumat, 14 Agu 2026 10:59 WIB",penerimaan_negara,intensifikasi_pnbp,pusat,umum,tidak_teridentifikasi,,negatif,-1.0,,ibu_anak; petani_nelayan,0,0
"Prabowo: Birokrasi Tidak Efisien, Birokrat Menggunakan Jabatan Memperkaya Diri",https://finance.detik.com/berita-ekonomi-bisnis/d-8618044/prabowo-birokrasi-tidak-efisien-birokrat-menggunakan-jabatan-memperkaya-diri,news_site,detik.com,"Jumat, 14 Agu 2026 10:48 WIB",tidak_teridentifikasi,tidak_teridentifikasi,pusat,umum,tidak_teridentifikasi,DKI Jakarta,negatif,-0.535,,petani_nelayan,0,0
Ini Kriteria Masyarakat Desil 9-10 yang Bakal Dibatasi Beli BBM Pertalite,https://www.detik.com/bali/bisnis/d-8617984/ini-kriteria-masyarakat-desil-9-10-yang-bakal-dibatasi-beli-bbm-pertalite,news_site,detik.com,"Jumat, 14 Agu 2026 10:36 WIB",kesejahteraan,bansos_adaptif,pusat,umum,umum,DKI Jakarta,negatif,-1.0,,,0,0
Muzani: Program MBG Terobosan untuk Wujudkan Indonesia Emas 2045,https://news.detik.com/berita/d-8617908/muzani-program-mbg-terobosan-untuk-wujudkan-indonesia-emas-2045,news_site,detik.com,"Jumat, 14 Agu 2026 09:47 WIB",pangan,makan_bergizi_gratis,daerah,umum,tidak_teridentifikasi,DKI Jakarta,positif,1.0,,ibu_anak; petani_nelayan,0,0
Ketua MPR Ungkap Alasan MBG Dibutuhkan: Masih Ada Anak Sekolah Tak Sarapan,https://finance.detik.com/berita-ekonomi-bisnis/d-8617866/ketua-mpr-ungkap-alasan-mbg-dibutuhkan-masih-ada-anak-sekolah-tak-sarapan,news_site,detik.com,"Jumat, 14 Agu 2026 09:17 WIB",pangan,makan_bergizi_gratis,pusat,umum,tidak_teridentifikasi,DKI Jakarta,positif,1.0,,ibu_anak,0,0
"Batas Lapor SPT Tahunan sampai Akhir Maret, Berikut Dendanya Jika Terlambat",https://www.detik.com/jogja/bisnis/d-8398031/batas-lapor-spt-tahunan-sampai-akhir-maret-berikut-dendanya-jika-terlambat,news_site,detik.com,"Jumat, 13 Mar 2026 10:53 WIB",penerimaan_negara,penerimaan_pajak,pusat,umum,digital,DI Yogyakarta,positif,1.0,,,0,1
Melihat Realisasi Program Revitalisasi Sekolah di Purbalingga Jateng,https://www.detik.com/edu/foto/d-7963315/melihat-realisasi-program-revitalisasi-sekolah-di-purbalingga-jateng,news_site,detik.com,"Jumat, 13 Jun 2025 21:00 WIB",pendidikan,revitalisasi_sarpras,tidak_teridentifikasi,umum,tidak_teridentifikasi,Bali,netral,0.0,,,0,0
"Komisi XIII DPR RI Apresiasi Kinerja Imigrasi Sumut, Dukung Pembentukan Kantor Baru",https://www.detik.com/sumut/berita/d-8529968/komisi-xiii-dpr-ri-apresiasi-kinerja-imigrasi-sumut-dukung-pembentukan-kantor-baru,news_site,detik.com,"Jumat, 12 Jun 2026 21:35 WIB",penerimaan_negara,intensifikasi_pnbp,pusat,umum,tidak_teridentifikasi,Sumatera Utara,positif,1.0,,,0,0
"Palsukan Data Kreditur, Eks Mantri Bank BUMN di Pekanbaru jadi Tersangka",https://www.detik.com/sumut/hukum-dan-kriminal/d-6611859/palsukan-data-kreditur-eks-mantri-bank-bumn-di-pekanbaru-jadi-tersangka,news_site,detik.com,"Jumat, 10 Mar 2023 17:26 WIB",kesejahteraan,kartu_usaha_produktif,pusat,umum,umum,Riau,netral,0.0,Persyaratan Dokumen Berlebihan,,0,0
"Tabel KUR BRI Juli 2026 Lengkap, Ini Cicilan untuk Pinjaman Rp 1-500 Juta",https://www.detik.com/sulsel/bisnis/d-8568682/tabel-kur-bri-juli-2026-lengkap-ini-cicilan-untuk-pinjaman-rp-1-500-juta,news_site,detik.com,"Jumat, 10 Jul 2026 20:45 WIB",kesejahteraan,kartu_usaha_produktif,tidak_teridentifikasi,umum,umum,Sulawesi Selatan,positif,1.0,,,0,0
"Ironi Korban Pemerkosaan di Sukabumi: Rumah Lapuk, Data Bansos Salah",https://www.detik.com/jabar/hukum-dan-kriminal/d-8568494/ironi-korban-pemerkosaan-di-sukabumi-rumah-lapuk-data-bansos-salah,news_site,detik.com,"Jumat, 10 Jul 2026 17:30 WIB",kesejahteraan,bansos_adaptif,pusat,umum,digital,Bali,positif,0.5,,ibu_anak; pekerja_informal,0,1
Mendagri Minta Kepala Daerah Prioritaskan Penanganan Kusta untuk Perkuat SDM,https://news.detik.com/berita/d-8568452/mendagri-minta-kepala-daerah-prioritaskan-penanganan-kusta-untuk-perkuat-sdm,news_site,detik.com,"Jumat, 10 Jul 2026 15:41 WIB",kesehatan,penuntasan_tbc,daerah,umum,tidak_teridentifikasi,Bali,positif,1.0,,,0,0
"Dikritik, RSUD Palabuhanratu Ungkap Piutang Pasien Miskin Rp 5 M",https://www.detik.com/jabar/berita/d-8568154/dikritik-rsud-palabuhanratu-ungkap-piutang-pasien-miskin-rp-5-m,news_site,detik.com,"Jumat, 10 Jul 2026 15:30 WIB",kesehatan,rs_berkualitas,pusat,umum,tidak_teridentifikasi,Jawa Barat,netral,0.0,,,1,1
"25 Universitas Mitra Beasiswa Maung Depok 2026, Mahasiswa Gas Daftar!",https://www.detik.com/edu/beasiswa/d-8564887/25-universitas-mitra-beasiswa-maung-depok-2026-mahasiswa-gas-daftar,news_site,detik.com,"Jumat, 10 Jul 2026 14:45 WIB",pendidikan,sekolah_unggul,daerah,umum,digital,Lampung,positif,0.143,,ibu_anak,0,0
UNSRI-RSMH Palembang Kembangkan AI dan IoT untuk Perangkat Smart Health,https://www.detik.com/edu/edutainment/d-8567979/unsri-rsmh-palembang-kembangkan-ai-dan-iot-untuk-perangkat-smart-health,news_site,detik.com,"Jumat, 10 Jul 2026 11:40 WIB",kesehatan,supply_chain_farmasi,daerah,umum,digital,Sumatera Selatan,positif,1.0,Sistem Digital Tidak Berfungsi,,1,0
Makin Banyak Siswa Sekolah Ini yang Diterima 100 Kampus Terbaik Dunia,https://www.detik.com/edu/sekolah/d-8567754/makin-banyak-siswa-sekolah-ini-yang-diterima-100-kampus-terbaik-dunia,news_site,detik.com,"Jumat, 10 Jul 2026 09:45 WIB",pendidikan,sekolah_unggul,pusat,umum,tidak_teridentifikasi,DKI Jakarta,positif,1.0,,,0,0
Lebih dari Seribu ASN Jabar Terjerat Judol,https://www.detik.com/jabar/berita/d-8567193/lebih-dari-seribu-asn-jabar-terjerat-judol,news_site,detik.com,"Jumat, 10 Jul 2026 09:00 WIB",kesejahteraan,kesejahteraan_asn,daerah,umum,digital,Jawa Barat,netral,0.0,,ibu_anak,1,0
"Jadi Gubernur-Wagub Bengkulu Terpilih, Ini Program Helmi-Mian 100 Hari Pertama",https://www.detik.com/sumbagsel/berita/d-7726019/jadi-gubernur-wagub-bengkulu-terpilih-ini-program-helmi-mian-100-hari-pertama,news_site,detik.com,"Jumat, 10 Jan 2025 12:20 WIB",kesehatan,rs_berkualitas,daerah,umum,umum,Bengkulu,positif,0.429,,lansia; ibu_anak,0,1
"Sejumlah Daerah Terapkan WFH Jumat, Layanan Tetap Jalan",https://news.detik.com/foto-news/d-8437903/sejumlah-daerah-terapkan-wfh-jumat-layanan-tetap-jalan,news_site,detik.com,"Jumat, 10 Apr 2026 13:31 WIB",tidak_teridentifikasi,tidak_teridentifikasi,daerah,umum,tidak_teridentifikasi,DKI Jakarta,netral,0.0,,,0,0
"Realisasi Pajak NTT Capai Rp 482 Miliar hingga Maret 2026, Tumbuh 29,1 Persen",https://www.detik.com/bali/bisnis/d-8479842/realisasi-pajak-ntt-capai-rp-482-miliar-hingga-maret-2026-tumbuh-29-1-persen,news_site,detik.com,"Jumat, 08 Mei  2026 10:49 WIB",penerimaan_negara,penerimaan_pajak,pusat,umum,digital,Nusa Tenggara Timur,positif,1.0,,,0,1
Kejati Sumsel Tetapkan 3 Tersangka Baru Kasus Korupsi KUR di Muara Enim,https://www.detik.com/sumbagsel/hukum-dan-kriminal/d-8479468/kejati-sumsel-tetapkan-3-tersangka-baru-kasus-korupsi-kur-di-muara-enim,news_site,detik.com,"Jumat, 08 Mei  2026 06:30 WIB",kesejahteraan,kartu_usaha_produktif,daerah,umum,tidak_teridentifikasi,Sumatera Selatan,negatif,-1.0,,,0,0
Digitalisasi Medis Langkah Menghapus Diskriminasi Pasien BPJS,https://www.detik.com/jabar/cirebon-raya/d-7380091/digitalisasi-medis-langkah-menghapus-diskriminasi-pasien-bpjs,news_site,detik.com,"Jumat, 07 Jun 2024 19:32 WIB",kesehatan,rs_berkualitas,daerah,umum,digital,,positif,1.0,,,1,0
