title,url,source_type,source_name,published_date,category,sub_issue,gov_level,area_type,service_type,province,sentiment,sentiment_score,pain_points,demographics,has_abandonment_signal,has_bottleneck
"Kemenimipas Gelar Operasi Katarak Gratis 81 Warga, Napi dan Petugas Lapas",https://news.detik.com/berita/d-8612051/kemenimipas-gelar-operasi-katarak-gratis-81-warga-napi-dan-petugas-lapas,news_site,detik.com,"Senin, 10 Agu 2026 13:56 WIB",kesehatan,pemeriksaan_gratis,pusat,umum,tidak_teridentifikasi,Jawa Tengah,positif,1.0,,ibu_anak,0,0
Babak Baru Kematian dr. Icha dan Dugaan Intimidasi 3 Anggota DPRD,https://www.detik.com/bali/hukum-dan-kriminal/d-8561188/babak-baru-kematian-dr-icha-dan-dugaan-intimidasi-3-anggota-dprd,news_site,detik.com,"Senin, 06 Jul 2026 06:30 WIB",kesehatan,kelengkapan_data_rs,daerah,umum,tidak_teridentifikasi,Bali,netral,0.0,,,0,0
"Cuma Pakai Google Form, Kasus Stunting dan TB di Perante Didata Lebih Cepat",https://inet.detik.com/cyberlife/d-8513237/cuma-pakai-google-form-kasus-stunting-dan-tb-di-perante-didata-lebih-cepat,news_site,detik.com,"Senin, 01 Jun 2026 17:00 WIB",kesehatan,makan_bergizi_gratis,pusat,umum,tidak_teridentifikasi,,positif,0.5,,ibu_anak,0,0
Terkuak Pemkot Parepare Bayarkan BPJS Warga Daerah Lain Selama 8 Bulan,https://www.detik.com/sulsel/parepare/d-8553156/terkuak-pemkot-parepare-bayarkan-bpjs-warga-daerah-lain-selama-8-bulan,news_site,detik.com,"Selasa, 30 Jun 2026 08:30 WIB",kesehatan,pemeriksaan_gratis,daerah,umum,digital,Sulawesi Selatan,negatif,-0.5,Salah Sasaran Penerima Manfaat,,1,1
Tante Jelaskan Kondisi Amanda yang Tak Bisa Hadiri Sidang Mario Dandy,https://news.detik.com/berita/d-6794946/tante-jelaskan-kondisi-amanda-yang-tak-bisa-hadiri-sidang-mario-dandy,news_site,detik.com,"Selasa, 27 Jun 2023 14:30 WIB",kesehatan,kelengkapan_data_rs,daerah,umum,tidak_teridentifikasi,Bali,negatif,-1.0,,lansia; ibu_anak,1,0
"Sejarah Karhutla Jambi 20 Tahun Terakhir, 2015-2019 Jadi Bencana Asap Terburuk",https://www.detik.com/sumbagsel/berita/d-8634153/sejarah-karhutla-jambi-20-tahun-terakhir-2015-2019-jadi-bencana-asap-terburuk,news_site,detik.com,"Selasa, 25 Agu 2026 20:41 WIB",kesehatan,revitalisasi_sarpras,daerah,umum,digital,Jambi,positif,0.291,,ibu_anak,0,1
Syarat Pendaftaran Petugas Haji 2027 dan Dokumen yang Harus Disiapkan,https://www.detik.com/hikmah/haji-dan-umrah/d-8633878/syarat-pendaftaran-petugas-haji-2027-dan-dokumen-yang-harus-disiapkan,news_site,detik.com,"Selasa, 25 Agu 2026 17:00 WIB",kesejahteraan,kesejahteraan_asn,pusat,umum,tidak_teridentifikasi,,positif,1.0,,lansia; disabilitas,0,0
"Cara Cek Desil Online dan Offline Pakai NIK KTP Lewat HP, Simak!",https://www.detik.com/sumbagsel/berita/d-8622903/cara-cek-desil-online-dan-offline-pakai-nik-ktp-lewat-hp-simak,news_site,detik.com,"Selasa, 18 Agu 2026 06:30 WIB",kesejahteraan,bansos_adaptif,pusat,umum,digital,,positif,1.0,,,0,0
Walkot Kendari Siska Luncurkan Kelurahan Siaga untuk Deteksi Dini TBC,https://www.detik.com/sulsel/berita/d-8574237/walkot-kendari-siska-luncurkan-kelurahan-siaga-untuk-deteksi-dini-tbc,news_site,detik.com,"Selasa, 14 Jul 2026 20:03 WIB",kesehatan,penuntasan_tbc,daerah,3T,tidak_teridentifikasi,Bali,positif,1.0,,lansia; ibu_anak,0,1
Dinkes Bali Ajak Masyarakat Medical Check Up Gratis Saat Ulang Tahun,https://www.detik.com/bali/berita/d-7721156/dinkes-bali-ajak-masyarakat-medical-check-up-gratis-saat-ulang-tahun,news_site,detik.com,"Selasa, 07 Jan 2025 12:35 WIB",kesehatan,pemeriksaan_gratis,daerah,umum,tidak_teridentifikasi,Bali,positif,0.714,,lansia; ibu_anak,0,1
